Table 2.1 - Support for Raising Taxes instead of Reducing services by Ideology group (H.E. model), 2007 & 2009						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Left	Center	Right	Left	Center	Right
						
ecrisis	0.279	-0.0443	-0.0475	0.275	-0.108	-0.0930
	(0.175)	(0.154)	(0.170)	(0.187)	(0.144)	(0.161)
2.chng_fin				0.0981	0.0397	0.00349
				(0.0552)	(0.0793)	(0.0742)
3.chng_fin				0.0631	0.0899	-0.0156
				(0.0512)	(0.0665)	(0.0928)
2.fut_fin				0.0311	0.0854	0.123
				(0.0502)	(0.0849)	(0.0783)
3.fut_fin				0.0836	0.00814	-0.0416
				(0.0592)	(0.0982)	(0.0832)
age				0.0118	0.0189*	0.00428
				(0.00699)	(0.00746)	(0.00723)
agesqr				-7.97e-05	-0.000167*	-3.30e-05
				(7.08e-05)	(7.82e-05)	(7.38e-05)
female				0.0467	0.157***	0.225***
				(0.0442)	(0.0409)	(0.0469)
edu2				0.193**	-0.0443	-0.171***
				(0.0683)	(0.0537)	(0.0420)
2.inchigh				0.0459	0.117	-0.157
				(0.0592)	(0.0821)	(0.0808)
3.inchigh				0.0479	0.0827	0.00585
				(0.0557)	(0.0517)	(0.0807)
4.inchigh				0.00206	0.0399	-0.104
				(0.0865)	(0.0666)	(0.0770)
2.class3				0.0211	0.0471	-0.107
				(0.0445)	(0.0590)	(0.0601)
3.class3				-0.130	0.0252	-0.298***
				(0.0975)	(0.0864)	(0.0772)
unemploy				0.0610	-0.120	-0.0631
				(0.138)	(0.0914)	(0.157)
Constant	3.770***	3.216***	3.020***	3.174***	2.496***	2.963***
	(0.0393)	(0.0417)	(0.0385)	(0.180)	(0.191)	(0.213)
						
Observations	2,132	1,851	2,286	1,921	1,582	2,093
R-squared	0.011	0.007	0.000	0.032	0.029	0.040
Number of mun_number	50	50	50	50	50	50
Indiv. Controls	no	no	no	yes	yes	yes
Municipal FE	yes	yes	yes	yes	yes	yes
Year FE	yes	yes	yes	yes	yes	yes
Cluster RSE	yes	yes	yes	yes	yes	yes
Robust standard errors in parentheses						
*** p<0.001, ** p<0.01, * p<0.05						
